id,country,city,gender,ethnicity,animal_type,animals,humans,is_required,last_updated_date
62,China,Tange Zhen,Male,Navajo,rabbit,4087,1856959,1,6/16/2016
63,China,Jinjing,Male,Samoan,cat,3597,3940992,1,3/27/2016
64,United States,Washington,Female,Colombian,dog,2277,8471293,0,9/4/2016
65,China,Luyi,Female,Laotian,cat,4937,7356235,1,5/25/2016
66,China,Huangqu,Female,Spaniard,horse,1245,9994692,1,9/12/2016
67,Brazil,Campo Maior,Female,Uruguayan,elephant,3428,5373828,1,4/3/2016
68,China,Yunshan,Male,Nicaraguan,dog,4040,9737679,1,1/17/2016
69,China,Xiongshan,Female,Cambodian,elephant,309,6614236,1,6/11/2016
70,China,Ni ao,Male,Navajo,cat,488,1974090,1,10/26/2016
71,China,Shinaihai,Female,Argentinian,rabbit,7339,8545170,0,8/15/2016
72,China,Yuqian,Female,Ute,elephant,6976,6715269,1,5/18/2016
73,China,Hengxianhe,Male,Lumbee,elephant,7097,1568745,1,1/9/2016
74,China,Chengjiao,Male,Guamanian,dog,6597,2493459,0,4/30/2016
75,China,Wenxing,Male,Honduran,rabbit,7546,8651104,0,4/9/2016
76,Brazil,Campo Alegre,Female,Yaqui,cat,4379,8049193,1,12/14/2015
77,China,Jinhu,Female,Honduran,rabbit,2867,1428871,0,4/25/2016
78,China,Sanhe,Female,Chippewa,rabbit,2256,1053490,1,4/23/2016
79,China,Nanjing,Female,Chinese,cat,7661,5906423,0,10/8/2016
80,China,Honghualiangzi,Male,Cherokee,cat,7386,3279627,0,1/26/2016
81,China,Rushankou,Female,Asian Indian,dog,6358,1880572,1,12/10/2015
82,United States,Houston,Female,Colville,rabbit,1603,1395468,1,2/27/2016
83,Canada,Raymond,Male,Asian,dog,3069,712234,1,7/18/2016
84,Brazil,Rio das Pedras,Female,Yakama,cat,1873,4570662,0,4/8/2016
85,China,Zongzhai,Male,Tohono O Odham,dog,3021,9706030,0,9/19/2016
86,China,Xinxian,Male,Filipino,rabbit,8030,9555499,1,4/28/2016
87,China,Fucheng,Male,Eskimo,dog,1616,8405833,0,3/15/2016
88,China,Xiaoyan,Female,South American,horse,3807,6317878,0,9/8/2016
89,Brazil,Viana,Male,Asian,rabbit,1628,6931409,1,3/15/2016
90,China,Yangzhou,Female,Chamorro,horse,5996,379754,1,3/31/2016
91,United States,Santa Rosa,Male,Ottawa,dog,5442,5496709,0,9/10/2016
92,China,Gangba,Female,Sri Lankan,elephant,5913,3848363,0,6/1/2016
93,Brazil,Bocai va,Female,Yuman,cat,5183,4850013,1,6/25/2016
94,Brazil,Bauru,Female,Latin American Indian,rabbit,5140,8918761,1,8/16/2016
95,United States,Tampa,Male,Cherokee,elephant,629,1754859,0,3/18/2016
96,China,Cishangang,Female,Kiowa,cat,3414,5640257,1,8/22/2016
97,China,Ningchegu,Female,Paraguayan,elephant,7011,2499284,1,5/8/2016
98,China,Gechuan,Male,Yakama,horse,5950,4297882,0,9/17/2016
99,China,Longguang,Male,South American,horse,1884,9942057,0,1/19/2016
100,China,Xinjie,Male,Panamanian,rabbit,338,6516924,0,10/5/2016
